id,created_time,creator_id,modified_time,modifier_id,is_deleted,name,group,path,is_exist,order_num,file_type,ext,status,searchable,filterable,quickSearch,active
136,2024-05-06 13:28:59.370606,1,2024-07-21 07:00:46.440986,1,0,在线之家,t4/spiders,t4/spiders/在线之家.py,True,130,.py,,1,1,1,0,True
410,2024-06-14 18:03:33.410059,1,2024-07-21 07:00:46.551223,1,0,bilfun(自动),t4/files/drpy_js,t4/files/drpy_js/bilfun(自动).js,True,404,.js,,1,1,1,0,True
126,2024-03-29 09:09:20.999119,1,2024-07-21 07:00:46.564562,1,0,freeok,t4/files/drpy_js,t4/files/drpy_js/freeok.js,True,120,.js,,1,1,0,0,True
162,2024-05-06 13:28:59.724194,1,2024-07-21 07:00:46.636867,1,0,voflix,t4/files/drpy_js,t4/files/drpy_js/voflix.js,True,156,.js,,1,1,1,0,True
202,2024-05-09 11:39:58.476424,1,2024-07-21 07:00:46.665454,1,0,七年影视,t4/files/drpy_js,t4/files/drpy_js/七年影视.js,True,196,.js,,1,1,1,0,True
442,2024-06-17 16:35:37.508464,1,2024-07-21 07:00:46.714618,1,0,云盘资源网[盘],t4/files/drpy_js,t4/files/drpy_js/云盘资源网[盘].js,True,436,.js,,1,1,1,1,True
200,2024-05-08 14:08:15.453814,1,2024-07-21 07:00:46.737310,1,0,侠客影视,t4/files/drpy_js,t4/files/drpy_js/侠客影视.js,True,194,.js,,1,1,1,0,True
437,2024-06-17 16:35:37.271622,1,2024-07-21 07:00:46.796985,1,0,动漫巴士[漫],t4/files/drpy_js,t4/files/drpy_js/动漫巴士[漫].js,True,431,.js,,1,1,1,1,True
445,2024-06-17 16:35:37.532546,1,2024-07-21 07:00:46.800920,1,0,动漫网[漫],t4/files/drpy_js,t4/files/drpy_js/动漫网[漫].js,True,439,.js,,1,1,0,0,True
451,2024-06-17 16:35:37.760122,1,2024-07-21 07:00:46.903473,1,0,多多追剧[优],t4/files/drpy_js,t4/files/drpy_js/多多追剧[优].js,True,445,.js,,1,1,0,0,True
